"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PURCHASE-URL";
"1";"";"AK500/3-H";"AK500/3-H";"X1";"CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";
"2";"";"JP3Q";"JP3Q";"MICROSTEP_1, MICROSTEP_2";"JUMPER";"";"";"";"";"";"";"";"";"";"";
"2";"";"JP4E";"JP4";"J_STEP_1, J_STEP_2";"JUMPER";"";"";"";"";"";"";"";"";"";"";
"4";"";"PINHD-1X2";"1X02";"J_ENDSTOP_1, J_ENDSTOP_2, J_ENDSTOP_3, J_ENDSTOP_4";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"4";"";"PINHD-1X3";"1X03";"J_MEASURE, J_SERVO_3, J_SERVO_4, J_USART";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"1";"0.1u";"C-EUC3216";"C3216";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"3";"1000uF 25V";"CPOL-EUE3.5-10";"E3,5-10";"C1, C2, C8";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"6";"100R";"R-EU_R3216";"R3216";"R5, R13, R14, R16, R17, R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"5";"100k";"R-EU_R3216";"R3216";"R1, R4, R7, R11, R20";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"4";"100n";"C-EUC0402";"C0402";"C7, C10, C11, C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"100n";"C-EUC2012";"C2012";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"4";"10k";"R-EU_R3216";"R3216";"R2, R3, R6, R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"1N4004";"1N4004";"DO41-10";"D2";"DIODE";"";"";"";"";"";"";"";"";"";"";
"5";"1k";"R-EU_R3216";"R3216";"R8, R9, R10, R12, R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"1mH";"L-EUWE-TPC";"POWER-CHOKE_WE-TPC";"L1";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"1u";"C-EUC2012";"C2012";"C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"2.2u";"CPOL-EUE2.5-5";"E2,5-5";"C6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"5V";"AK500/2";"AK500/2";"5V";"CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";
"2";"A4988_STEPPER_MOTOR_DRIVER_CARRIER";"A4988_STEPPER_MOTOR_DRIVER_CARRIER";"MODULE_A4988_STEPPER_MOTOR_DRIVER_CARRIER";"A4988_1, A4988_2";"Stepper motor controler; IC: A4988; 1A; Uin mot: 8÷35V Check prices";"Not in stock";" Stepper Motor Driver ";"Pololu";"A4988 STEPPER MOTOR DRIVER CARRIER";"";"";"";"None";"None";"";
"1";"BLUE_PILL";"BLUE_PILL";"BLUE_PILL";"BLUE_PILL1";"";"";"";"";"";"";"";"";"";"";"";
"1";"GND";"AK500/2";"AK500/2";"5V1";"CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";
"1";"IRF540";"IRF540";"TO220BV";"Q2";"HEXFET Power MOSFET";"";"";"";"";"";"";"";"";"";"";
"1";"LF33CV";"LF33CV";"TO254P450X1020X1935-3P";"Q3";"Very low drop voltage regulators with inhibit Check prices";"In Stock";" Linear Voltage Regulator IC Positive Fixed 1 Output 500mA TO-220 ";"STMicroelectronics";"LF33CV";"";"";"";"TO-220-3 ON Semiconductor";"None";"https://pricing.snapeda.com/search/part/LF33CV/?ref=eda";
"1";"LM324N";"LM324N";"DIL14";"IC2";"OP AMP";"";"";"";"";"";"";"";"";"";"";
"1";"TBD";"C-EUC3216";"C3216";"C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"V_STEP";"AK500/2";"AK500/2";"V_STEP";"CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";
